Age32-40, State-gov, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, Some-college,EduNum10, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
Age61-70, ?, HS-grad,EduNum9, Married-civ-spouse, ?, Husband, White, Male,Hour21-35, United-States, <=50K
Age51-60, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Sales, Husband, White, Male,Hour21-35, United-States, >50K
Age41-50, ?, HS-grad,EduNum9, Married-civ-spouse, ?, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Sales, Unmarried, Black, Female,Hour21-35, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, 12th,EduNum8, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States, <=50K
Age61-70, Private, Preschool,EduNum1, Married-civ-spouse, Prof-specialty, Husband, Other, Male,Hour21-35, Mexico, <=50K
Age41-50, Private, Prof-school,EduNum15, Divorced, Prof-specialty, Not-in-family, White, Male,Hour51-70, United-States, >50K
Age24-31, Private, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Prof-specialty, Own-child, White, Male,Hour1-20, United-States, <=50K
Age41-50, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age24-31, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Never-married, Handlers-cleaners, Other-relative, White, Male,Hour1-20, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States, <=50K
Age24-31, Private, 11th,EduNum7, Never-married, Machine-op-inspct, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Machine-op-inspct, Own-child, Black, Female,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour21-35, Jamaica, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States, <=50K
Age32-40, State-gov, Some-college,EduNum10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Hour36-50, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Never-married, Transport-moving, Unmarried, White, Female,Hour1-20, Puerto-Rico, <=50K
Age41-50, Federal-gov, HS-grad,EduNum9, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, 9th,EduNum5, Never-married, Farming-fishing, Other-relative, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, United-States, >50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age61-70, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour1-20, United-States, <=50K
Age32-40, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States, <=50K
Age32-40, State-gov, 10th,EduNum6, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States, <=50K
Age71-80, Private, Bachelors,EduNum13, Never-married, Exec-managerial, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age51-60, Local-gov, Some-college,EduNum10, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,Hour36-50, United-States, <=50K
Age81-90, Self-emp-not-inc, HS-grad,EduNum9, Widowed, Sales, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age51-60, Self-emp-not-inc, 7th-8th,EduNum4, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, ?, <=50K
Age32-40, Private, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour51-70, India, >50K
Age24-31, Private, Some-college,EduNum10, Never-married, Craft-repair, Own-child, White, Male,Hour51-70, United-States, <=50K
Age51-60, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Assoc-voc,EduNum11, Divorced, Prof-specialty, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Divorced, Sales, Unmarried, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,Hour36-50, United-States, <=50K
Age41-50, Federal-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, ?, HS-grad,EduNum9, Married-civ-spouse, ?, Wife, White, Female,Hour21-35, United-States, >50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Never-married, Sales, Not-in-family, White, Male,Hour51-70, United-States, >50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Other-service, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age61-70, Self-emp-not-inc, Assoc-voc,EduNum11, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, United-States, <=50K
Age51-60, ?, 7th-8th,EduNum4, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, ?, <=50K
Age24-31, Private, 11th,EduNum7, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age71-80, Private, HS-grad,EduNum9, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age71-80, Local-gov, Doctorate,EduNum16, Widowed, Prof-specialty, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age51-60, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Bachelors,EduNum13, Divorced, Tech-support, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Other-service, Not-in-family, White, Male,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour36-50, United-States, >50K
Age51-60, Private, Assoc-voc,EduNum11, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Local-gov, Masters,EduNum14, Divorced, Exec-managerial, Not-in-family, White, Female,Hour51-70, United-States, >50K
Age41-50, Self-emp-inc, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, >50K
Age61-70, Private, Some-college,EduNum10, Widowed, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, State-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States, >50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, Cambodia, >50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Sales, Own-child, Black, Female,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour51-70, United-States, <=50K
Age61-70, Self-emp-not-inc, 10th,EduNum6, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Machine-op-inspct, Own-child, White, Male,Hour51-70, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,Hour36-50, ?, <=50K
Age32-40, Self-emp-inc, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, 11th,EduNum7, Never-married, Other-service, Other-relative, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Separated, Other-service, Other-relative, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States, <=50K
Age61-70, Self-emp-not-inc, 5th-6th,EduNum3, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour21-35, United-States, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Machine-op-inspct, Other-relative, White, Female,Hour51-70, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Separated, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, 1st-4th,EduNum2, Married-spouse-absent, Farming-fishing, Other-relative, White, Male,Hour71-99, Mexico, <=50K
Age32-40, Local-gov, Assoc-voc,EduNum11, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour51-70, United-States, >50K
Age32-40, Private, 10th,EduNum6, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, Mexico, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, State-gov, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age24-31, State-gov, Some-college,EduNum10, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Widowed, Sales, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,Hour36-50, United-States, <=50K
Age51-60, Private, 10th,EduNum6, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, 11th,EduNum7, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Divorced, Other-service, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-spouse-absent, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Federal-gov, HS-grad,EduNum9, Divorced, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Federal-gov, HS-grad,EduNum9, Never-married, Adm-clerical, Own-child, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States, <=50K
Age51-60, ?, Masters,EduNum14, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Separated, Craft-repair, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, ?, HS-grad,EduNum9, Never-married, ?, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Other-service, Husband, White, Male,Hour21-35, ?, <=50K
Age41-50, Private, 11th,EduNum7, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour51-70, United-States, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Separated, Prof-specialty, Not-in-family, White, Female,Hour36-50, Dominican-Republic, <=50K
Age41-50, Self-emp-not-inc, Assoc-voc,EduNum11, Divorced, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour21-35, United-States, >50K
Age41-50, Local-gov, Bachelors,EduNum13, Divorced, Prof-specialty, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age51-60, Federal-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Other-service, Own-child, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, 10th,EduNum6, Widowed, Craft-repair, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Separated, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour36-50, Thailand, >50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Male,Hour51-70, United-States, <=50K
Age41-50, Self-emp-inc, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Not-in-family, Other, Male,Hour36-50, United-States, <=50K
Age17-23, Federal-gov, Assoc-voc,EduNum11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour21-35, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, Yugoslavia, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States, <=50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Unmarried, Other, Female,Hour36-50, United-States, <=50K
Age32-40, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour51-70, United-States, >50K
Age24-31, Federal-gov, Bachelors,EduNum13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Protective-serv, Own-child, White, Male,Hour1-20, United-States, <=50K
Age32-40, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour21-35, Germany, >50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Masters,EduNum14, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, Canada, >50K
Age24-31, Private, Assoc-voc,EduNum11, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Protective-serv, Unmarried, Black, Female,Hour21-35, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,Hour51-70, China, <=50K
Age41-50, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour21-35, United-States, <=50K
Age61-70, ?, Masters,EduNum14, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States, >50K
Age24-31, State-gov, Bachelors,EduNum13, Never-married, Adm-clerical, Own-child, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Private, 11th,EduNum7, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Other-service, Wife, White, Female,Hour21-35, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Protective-serv, Not-in-family, White, Male,Hour1-20, United-States, <=50K
Age71-80, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Other-relative, Black, Male,Hour36-50, United-States, <=50K
Age17-23, Private, 12th,EduNum8, Never-married, Craft-repair, Own-child, White, Male,Hour1-20, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour21-35, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Separated, Sales, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age61-70, ?, Doctorate,EduNum16, Married-civ-spouse, ?, Husband, White, Male,Hour51-70, United-States, <=50K
Age32-40, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour71-99, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, State-gov, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,Hour21-35, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, Italy, <=50K
Age51-60, Self-emp-not-inc, Bachelors,EduNum13, Divorced, Transport-moving, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age61-70, Private, HS-grad,EduNum9, Divorced, Farming-fishing, Not-in-family, White, Male,Hour21-35, United-States, <=50K
Age61-70, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour21-35, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Other-service, Not-in-family, Black, Female,Hour1-20, United-States, <=50K
Age61-70, Self-emp-inc, Bachelors,EduNum13, Widowed, Other-service, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Wife, Other, Female,Hour1-20, United-States, <=50K
Age32-40, Local-gov, HS-grad,EduNum9, Separated, Other-service, Own-child, White, Female,Hour71-99, United-States, <=50K
Age24-31, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Machine-op-inspct, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour71-99, United-States, >50K
Age17-23, Private, 11th,EduNum7, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States, <=50K
Age51-60, ?, HS-grad,EduNum9, Divorced, ?, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, 11th,EduNum7, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, Mexico, <=50K
Age24-31, Private, 10th,EduNum6, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour1-20, United-States, >50K
Age32-40, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Tech-support, Wife, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States, >50K
Age41-50, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, 7th-8th,EduNum4, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age71-80, ?, HS-grad,EduNum9, Married-civ-spouse, ?, Wife, White, Female,Hour1-20, United-States, <=50K
Age24-31, Private, Assoc-voc,EduNum11, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour21-35, United-States, >50K
Age81-90, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States, >50K
Age24-31, Self-emp-not-inc, Bachelors,EduNum13, Never-married, Prof-specialty, Own-child, White, Female,Hour36-50, United-States, <=50K
Age17-23, ?, HS-grad,EduNum9, Never-married, ?, Other-relative, White, Male,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, >50K
Age24-31, Local-gov, HS-grad,EduNum9, Never-married, Prof-specialty, Own-child, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, 11th,EduNum7, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States, <=50K
Age41-50, Local-gov, Masters,EduNum14, Separated, Prof-specialty, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Assoc-voc,EduNum11, Married-civ-spouse, Other-service, Wife, White, Female,Hour1-20, United-States, <=50K
Age41-50, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, Germany, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, 11th,EduNum7, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, State-gov, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Own-child, White, Female,Hour36-50, United-States, <=50K
Age41-50, Local-gov, Bachelors,EduNum13, Never-married, Prof-specialty, Own-child, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,Hour36-50, Philippines, <=50K
Age32-40, Private, HS-grad,EduNum9, Widowed, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Own-child, White, Female,Hour36-50, ?, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Divorced, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Divorced, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, Ireland, <=50K
Age32-40, Private, Some-college,EduNum10, Never-married, Exec-managerial, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, ?, >50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-inc, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour1-20, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Other-service, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age71-80, Private, 12th,EduNum8, Never-married, Other-service, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, >50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Male,Hour21-35, United-States, <=50K
Age32-40, Private, Assoc-voc,EduNum11, Never-married, Tech-support, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Assoc-voc,EduNum11, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, >50K
Age41-50, Private, 11th,EduNum7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
